Filename,FF-runtime,FF-maxflow,PP-runtime,PP-maxflow,SFF-runtime,SFF-maxflow
v10-d0.5-min1-max10.txt,0.0022511482238769,27,0.0006799697875976,27.0,0.0002269744873046,27.0
v100-d0.5-min1-max10.txt,18.75070691108704,296,0.9478259086608888,296.0,0.0368340015411376,296.0
v20-d0.5-min1-max10.txt,0.0258040428161621,39,0.0009379386901855,39.0,0.0003938674926757,39.0
v30-d0.5-min1-max10.txt,0.1285262107849121,66,0.0034587383270263,66.0,0.0010602474212646,66.0
v40-d0.5-min1-max10.txt,0.4844768047332763,103,0.0903952121734619,103.0,0.0039930343627929,103.0
v50-d0.1-min1-max10.txt,0.0155131816864013,12,0.0051929950714111,12.0,0.0001161098480224,12.0
v50-d0.2-min1-max10.txt,0.0714869499206543,23,0.1501240730285644,23.0,0.001357078552246,23.0
v50-d0.3-min1-max10.txt,0.3190999031066894,56,0.00537109375,56.0,0.0009160041809082,56.0
v50-d0.4-min1-max10.txt,0.7264459133148193,89,0.1523449420928955,89.0,0.005634069442749,89.0
v50-d0.5-min1-max10.txt,1.0668470859527588,121,0.0082268714904785,121.0,0.0031261444091796,121.0
v50-d0.5-min1-max100.txt,6.183290719985962,1248,0.1491527557373047,1248.0,0.0093491077423095,1248.0
v50-d0.5-min1-max20.txt,1.8886151313781736,254,0.1507899761199951,254.0,0.00990891456604,254.0
v50-d0.5-min1-max30.txt,2.4648728370666504,312,0.0089237689971923,312.0,0.0072021484375,312.0
v50-d0.5-min1-max40.txt,4.577473878860474,597,0.0124261379241943,597.0,0.0078358650207519,597.0
v50-d0.5-min1-max50.txt,3.982548236846924,579,0.0098438262939453,579.0,0.0056221485137939,579.0
v50-d0.5-min1-max60.txt,2.1956541538238525,406,0.1618368625640869,406.0,0.0076420307159423,406.0
v50-d0.5-min1-max70.txt,4.095617055892944,826,0.1464161872863769,826.0,0.0084400177001953,826.0
v50-d0.5-min1-max80.txt,4.534343957901001,866,0.148198127746582,866.0,0.0084729194641113,866.0
v50-d0.5-min1-max90.txt,4.288544654846191,811,0.0075151920318603,811.0,0.0036909580230712,811.0
v50-d0.6-min1-max10.txt,1.709068775177002,173,0.1542119979858398,173.0,0.0116701126098632,173.0
v50-d0.7-min1-max10.txt,1.926001071929932,180,0.1577372550964355,180.0,0.011584997177124,180.0
v50-d0.8-min1-max10.txt,2.3845131397247314,191,0.0114517211914062,191.0,0.0057129859924316,191.0
v50-d0.9-min1-max10.txt,2.947291135787964,210,0.1718611717224121,210.0,0.0202820301055908,210.0
v50-d1.0-min1-max10.txt,3.642557382583618,240,0.174692153930664,240.0,0.0198290348052978,240.0
v60-d0.5-min1-max10.txt,2.0312459468841557,162,0.012125015258789,162.0,0.0050148963928222,162.0
v70-d0.5-min1-max10.txt,5.1968607902526855,231,0.0275452136993408,231.0,0.0171759128570556,231.0
v80-d0.5-min1-max10.txt,6.363008975982666,183,0.6337251663208008,183.0,0.0212759971618652,183.0
v90-d0.5-min1-max10.txt,9.240071773529053,193,0.0366148948669433,193.0,0.015355110168457,193.0
