,SFF-runtime,SFF-maxflow
1,0.0,1.0
2,0.0,1.0
3,0.0,5.0
4,0.0,6.0
5,0.0,8.0
6,0.0,25.0
7,0.0010004043579101562,28.0
8,0.0,47.0
9,0.0009999275207519531,71.0
10,0.0,67.0
11,0.0,87.0
12,0.0010001659393310547,114.0
13,0.0,88.0
14,0.0,172.0
15,0.0009946823120117188,195.0
16,0.0,194.0
17,0.000990152359008789,315.0
18,0.0,360.0
19,0.0010001659393310547,336.0
20,0.0009999275207519531,369.0
21,0.0009996891021728516,482.0
22,0.00099945068359375,463.0
23,0.0019998550415039062,612.0
24,0.001999378204345703,601.0
25,0.0010001659393310547,604.0
26,0.0019919872283935547,733.0
27,0.0019996166229248047,653.0
28,0.0020003318786621094,724.0
29,0.002000093460083008,820.0
30,0.001986265182495117,832.0
31,0.0009999275207519531,913.0
32,0.0030035972595214844,1043.0
33,0.004004716873168945,1016.0
34,0.0019996166229248047,1163.0
35,0.003000497817993164,1196.0
36,0.0029993057250976562,1257.0
37,0.003000020980834961,1143.0
38,0.0039997100830078125,1558.0
39,0.004000186920166016,1444.0
40,0.0030002593994140625,1409.0
41,0.006006717681884766,1667.0
42,0.004004478454589844,1752.0
43,0.004000186920166016,1806.0
44,0.0070002079010009766,1969.0
45,0.003999471664428711,1813.0
46,0.006005525588989258,1936.0
47,0.0069997310638427734,2182.0
48,0.0070002079010009766,2004.0
49,0.006999969482421875,2198.0
50,0.006999492645263672,2438.0
51,0.008999109268188477,2497.0
52,0.007999897003173828,2686.0
53,0.005999565124511719,2571.0
54,0.005999565124511719,2306.0
55,0.01100015640258789,2869.0
56,0.007999897003173828,2842.0
57,0.008999824523925781,3174.0
58,0.009999513626098633,3275.0
59,0.007999897003173828,3056.0
60,0.011995553970336914,3409.0
61,0.010996580123901367,3815.0
62,0.011922836303710938,3789.0
63,0.012999296188354492,3807.0
64,0.01399993896484375,3807.0
65,0.01599907875061035,4082.0
66,0.01199483871459961,3782.0
67,0.018999814987182617,4278.0
68,0.032000064849853516,4529.0
69,0.01399993896484375,4727.0
70,0.02299976348876953,4931.0
71,0.02099919319152832,4773.0
72,0.021999835968017578,4968.0
73,0.018999814987182617,5224.0
74,0.02200031280517578,5616.0
75,0.023999929428100586,5362.0
76,0.028136491775512695,5576.0
77,0.026999950408935547,5818.0
78,0.026999711990356445,6163.0
79,0.028995513916015625,6283.0
80,0.031000137329101562,6188.0
81,0.029000043869018555,6759.0
82,0.026000261306762695,6673.0
83,0.03299999237060547,6216.0
84,0.029000043869018555,6783.0
85,0.023999929428100586,6607.0
86,0.03200030326843262,7027.0
87,0.023000717163085938,6660.0
88,0.023999691009521484,6914.0
89,0.03399944305419922,8173.0
90,0.038999080657958984,8020.0
91,0.0410003662109375,8390.0
92,0.02299952507019043,8179.0
93,0.037999629974365234,9013.0
94,0.031999826431274414,7514.0
95,0.037000417709350586,9065.0
96,0.02599477767944336,8951.0
97,0.03800535202026367,8052.0
98,0.03599977493286133,9002.0
99,0.046000003814697266,9264.0
100,0.04599928855895996,9857.0
